Product;Product;Category;Price;Units Sold;Quarter
Contoso X100 Laptop;MTech X100 Laptop;Laptops;$1299;5000;Q4-2024
Contoso BudgetBook;MTech BudgetBook;Laptops;$599;8200;Q4-2024
Contoso ProVision Monitor;MTech ProVision Monitor;Monitors;$350;3500;Q4-2024
Contoso Ergo Keyboard;MTech Ergo Keyboard;Accessories;$70;6700;Q4-2024
Contoso X200 Laptop;MTech X200 Laptop;Laptops;$1499;6000;Q3-2024
Contoso BudgetBook;MTech BudgetBook;Laptops;$599;7500;Q3-2024
Contoso NoiseBuds Pro;MTech NoiseBuds Pro;Headphones;$199;9000;Q3-2024
Contoso X100 Laptop;MTech X100 Laptop;Laptops;$1299;4800;Q3-2024
Contoso Ergo Mouse;MTech Ergo Mouse;Accessories;$60;5500;Q3-2024
Contoso UltraVision Monitor;MTech UltraVision Monitor;Monitors;$400;4200;Q3-2024
Contoso X300 Laptop;MTech X300 Laptop;Laptops;$1599;3200;Q2-2024
Contoso BudgetBook;MTech BudgetBook;Laptops;$599;6900;Q2-2024
Contoso NoiseBuds Pro;MTech NoiseBuds Pro;Headphones;$199;7500;Q2-2024
Contoso Ergo Keyboard;MTech Ergo Keyboard;Accessories;$70;6200;Q2-2024
Contoso UltraVision Monitor;MTech UltraVision Monitor;Monitors;$400;3900;Q2-2024
Contoso X200 Laptop;MTech X200 Laptop;Laptops;$1499;5600;Q1-2024
Contoso NoiseBuds Pro;MTech NoiseBuds Pro;Headphones;$199;8800;Q1-2024
Contoso X100 Laptop;MTech X100 Laptop;Laptops;$1299;5100;Q1-2024
Contoso Ergo Mouse;MTech Ergo Mouse;Accessories;$60;4800;Q1-2024
Contoso BudgetBook;MTech BudgetBook;Laptops;$599;7100;Q1-2024
